id,title,comment,numStars,productId,userId,isActive,createdAt,updatedAt
1,Uundværlig i feltet,Filtrerer vand hurtigt og smager neutralt super løsning til solo ture,5,1,7,true,2025-09-21,2025-09-21
2,Stærk lille powerstation,Driver køleboks og oplader alt uden problemer batteriet holder fint,4,9,2,true,2025-09-22,2025-09-23
3,Behagelig pandelampe,Lav vægt god pasform og tilstrækkelig lysstyrke til lejr og sti,4,11,5,true,2025-09-23,2025-09-23
4,Bedste multitool jeg har haft,Skarpe blade solid lås og alt hvad jeg behøver i én pakke,5,13,1,true,2025-09-24,2025-09-24
5,Pålidelig nødradio,Kranken virker fint og lyset er stærkt radioen kunne være højere i lyd,3,17,9,true,2025-09-24,2025-09-25
6,Gode frysetørrede måltider,Smagen er bedre end forventet nemt med kogende vand og ingen rod,4,5,3,true,2025-09-25,2025-09-25
7,Robust vandpose,Holdbar konstruktion ingen lækage og nem at hænge i lejr,5,3,10,true,2025-09-26,2025-09-26
8,Hurtig vanddesinfektion,Nemme at dosere og praktiske som backup i førstehjælpstasken,5,4,6,true,2025-09-27,2025-09-27
9,Effektivt solpanel,Klapper nemt ud giver stabil opladning i sol og tåler lidt vind,4,10,4,true,2025-09-28,2025-09-28
10,Kompakt førstehjælp,God sammensætning af essentials passer perfekt på bæltet,5,14,8,false,2025-09-29,2025-09-29